1401, 0.01, 0.03, -0.99, -0.43, 1.40, -0.98, 5.85, 34.21, -56.71
1410, 0.01, 0.03, -0.99, -0.37, 1.52, -1.04, 6.30, 34.36, -56.86
1419, 0.01, 0.03, -0.99, -0.49, 1.52, -1.10, 5.25, 33.61, -56.26
1429, 0.00, 0.03, -0.98, -0.61, 1.52, -1.04, 5.85, 34.51, -59.11
1438, 0.01, 0.04, -0.99, -0.43, 1.59, -1.04, 5.10, 35.56, -58.81
1447, 0.01, 0.04, -0.99, -0.43, 1.52, -1.04, 4.35, 34.51, -55.66
1456, 0.01, 0.04, -0.98, -0.37, 1.52, -0.98, 5.70, 32.86, -56.86
1466, 0.01, 0.04, -0.99, -0.43, 1.40, -1.10, 5.70, 34.36, -57.31
1475, 0.01, 0.03, -0.99, -0.49, 1.52, -1.04, 6.75, 34.36, -57.31
1485, 0.00, 0.04, -0.99, -0.49, 1.52, -1.10, 5.10, 34.21, -57.16
1495, 0.01, 0.04, -0.97, -0.49, 1.52, -1.04, 6.00, 33.31, -57.31
1504, 0.01, 0.04, -0.99, -0.37, 1.46, -1.04, 6.00, 35.11, -56.26
1515, 0.01, 0.04, -0.99, -0.37, 1.52, -1.04, 6.75, 34.06, -57.61
1524, 0.01, 0.03, -0.99, -0.30, 1.40, -1.10, 5.70, 34.66, -57.61
1535, 0.01, 0.04, -0.99, -0.43, 1.59, -0.98, 4.80, 33.76, -57.46
1544, 0.00, 0.04, -0.99, -0.43, 1.52, -0.91, 6.00, 34.66, -57.61
1581, 0.01, 0.03, -1.00, -0.24, 1.52, -1.04, 6.75, 35.11, -55.96
1590, 0.01, 0.04, -0.99, -0.55, 1.34, -1.10, 6.45, 34.51, -56.41
1599, 0.01, 0.03, -1.00, -0.37, 1.46, -0.98, 5.10, 36.01, -57.76
1609, 0.01, 0.03, -0.99, -0.37, 1.52, -1.04, 5.40, 36.31, -56.71
1618, 0.01, 0.03, -1.00, -0.37, 1.52, -1.10, 4.50, 34.66, -57.61
1627, 0.01, 0.04, -0.98, -0.37, 1.52, -1.04, 6.00, 36.16, -58.36
1636, 0.01, 0.04, -0.98, -0.49, 1.59, -0.98, 6.75, 33.31, -56.86
1646, 0.00, 0.04, -0.98, -0.43, 1.46, -1.04, 5.10, 35.26, -58.21
1655, 0.00, 0.04, -0.99, -0.43, 1.40, -0.91, 5.40, 33.76, -57.16
1664, 0.01, 0.04, -1.00, -0.49, 1.34, -1.04, 5.40, 33.46, -58.21
1673, 0.01, 0.03, -0.98, -0.37, 1.59, -1.04, 5.25, 35.11, -57.91
1683, 0.01, 0.04, -0.98, -0.49, 1.46, -1.10, 5.25, 35.11, -57.91
1692, 0.01, 0.03, -1.00, -0.49, 1.46, -1.16, 4.05, 34.51, -57.46
